"open","high","low","close","volume","adjusted","mean","returns","date"
5308.200195,5389.600098,5240.399902,5273,1143885,5273,5302.80004875,0.0165241869521993,"2020-12-01"
5309,5327.200195,5180.200195,5201.399902,701927,5201.399902,5254.450073,-0.00911781988864498,"2020-12-02"
5211.399902,5245,5136.200195,5153.399902,461956,5153.399902,5186.49999975,-0.0129319095825387,"2020-12-03"
5185,5228,5055.600098,5100,732156,5100,5142.1500245,-0.00855104121317612,"2020-12-04"
5065.399902,5113.200195,4962.600098,4978.399902,669388,4978.399902,5029.90002425,-0.0218293903746836,"2020-12-07"
5009.600098,5073.200195,4952.600098,5063.600098,698846,5063.600098,5024.75012225,-0.00102385772583401,"2020-12-08"
5063.399902,5230.799805,5040,5167,815365,5167,5125.29992675,0.0200109064239349,"2020-12-09"
5119.600098,5148.799805,4990.600098,5112.799805,655770,5112.799805,5092.9499515,-0.00631182091045228,"2020-12-10"
5140.600098,5194,5092.200195,5149.799805,459460,5149.799805,5144.1500245,0.0100531270653701,"2020-12-11"
5161,5161,5047,5061.399902,512131,5061.399902,5107.5999755,-0.00710516777814078,"2020-12-14"
5058.799805,5109.200195,5015,5072.200195,334140,5072.200195,5063.80004875,-0.00857544188270387,"2020-12-15"
5076,5204.799805,5050,5179.799805,473341,5179.799805,5127.6499025,0.0126090787818055,"2020-12-16"
5182,5283.600098,5100.799805,5135.200195,861539,5135.200195,5175.4000245,0.00931228202157867,"2020-12-17"
5161,5209,5113,5154.600098,666710,5154.600098,5159.4000245,-0.00309154846470941,"2020-12-18"
5100,5139.600098,5025,5054.200195,703491,5054.200195,5079.70007325,-0.0154475231367088,"2020-12-21"
5009.799805,5089.600098,4982,5055,363428,5055,5034.09997575,-0.00897692714972158,"2020-12-22"
5078,5130.600098,5041.399902,5108,293489,5108,5089.5,0.0110049511366224,"2020-12-23"
5137.799805,5137.799805,4990.399902,5000,285744,5000,5066.499878,-0.00451913193830443,"2020-12-24"
5032,5049.799805,5002,5048,82208,5048,5032.94995125,-0.00662191405464788,"2020-12-25"
5041,5078.399902,4986.200195,5013,283052,5013,5029.65002425,-0.000655664576831235,"2020-12-28"
5014,5065.200195,4996,5044.600098,308583,5044.600098,5029.95007325,5.96560393969423e-05,"2020-12-29"
5021,5174,5006.399902,5157.200195,402505,5157.200195,5089.65002425,0.0118688953430161,"2020-12-30"
